ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
ENGI3,103,-0.0173,0.2206,41.7476,0.2639,-0.0178,-0.0173,0.2206,41.7476,0.0,1.0,0.0,-0.0974,0.0061,0.9974,0.9981,0.6194
ENGI4,103,-0.1544,0.6544,9.7087,0.802,0.7583,-0.1544,0.6544,9.7087,0.0002,0.9932,0.0,0.0631,0.1732,0.9845,0.9844,0.7649
ENJU3,103,-0.6241,0.0929,80.5825,0.3347,0.0097,-0.6241,0.0929,80.5825,0.0,1.0,0.0,-0.2014,-0.0254,0.9946,0.9949,0.0746
ENMT3,103,-0.0086,0.1335,78.6408,0.4533,0.5165,-0.0086,0.1335,78.6408,0.0,1.0,0.0,-0.0892,-0.1191,0.9617,0.9351,0.9851
EPAR3,103,-0.0122,0.0168,95.1456,0.9204,1.0808,-0.0122,0.0168,95.1456,0.0158,0.9555,0.0,0.4615,0.368,0.8787,0.8452,0.9067
EQMA3B,103,-1.7153,0.2975,67.9612,0.686,0.5136,-1.7153,0.2975,67.9612,0.1282,0.7868,0.0,0.4907,0.4414,0.9623,1.0257,0.9963
EQPA3,103,-4.5431,0.7163,18.3673,0.4253,0.0049,-4.5431,0.7163,18.3673,0.0,1.0,0.0,0.1532,0.3011,0.9901,0.9902,0.9067
EQTL3,103,-0.1795,0.3513,22.3301,0.6032,-0.3889,-0.1795,0.3513,22.3301,0.0,1.0,0.0,-0.2289,-0.0549,0.9939,0.9941,0.0
ESPA3,103,-0.1326,0.3764,17.4757,1.0009,0.8986,-0.1326,0.3764,17.4757,0.0,1.0,0.0,0.1659,0.1634,0.9741,0.9741,0.0896
ESTR4,103,0.0074,0.1398,72.8155,0.8023,0.4087,0.0074,0.1398,72.8155,0.209,0.7672,23.301,0.074,0.2403,0.9964,1.0622,0.9813
ETER3,103,-0.1407,0.1358,54.3689,0.9459,0.9198,-0.1407,0.1358,54.3689,0.0,1.0,0.0,0.0896,0.0139,0.9852,0.9857,0.0187
